masked_column,Description,Type
f247,Offer sub category books music,one hot encoded
f248,Offer sub category british,one hot encoded
f249,Offer sub category carry out,one hot encoded
f250,Offer sub category casual,one hot encoded
f251,Offer sub category chinese,one hot encoded
f252,Offer sub category clothing,one hot encoded
f253,Offer sub category coffee desserts,one hot encoded
f254,Offer sub category communications,one hot encoded
f255,Offer sub category computer services,one hot encoded
f256,Offer sub category constructions,one hot encoded
f257,Offer sub category cruises,one hot encoded
f258,Offer sub category cuisin,one hot encoded
f259,Offer sub category delis,one hot encoded
f260,Offer sub category education,one hot encoded
f261,Offer sub category electronics,one hot encoded
f262,Offer sub category european,one hot encoded
f263,Offer sub category finance,one hot encoded
f264,Offer sub category food store,one hot encoded
f265,Offer sub category food wine,one hot encoded
f266,Offer sub category french,one hot encoded
f267,Offer sub category fusion,one hot encoded
f268,Offer sub category german,one hot encoded
f269,Offer sub category gifts,one hot encoded
f270,Offer sub category golf,one hot encoded
f271,Offer sub category greek,one hot encoded
f272,Offer sub category health care,one hot encoded
f273,Offer sub category hobbies,one hot encoded
f274,Offer sub category home furnishing,one hot encoded
f275,Offer sub category home garden,one hot encoded
f276,Offer sub category hotel resorts,one hot encoded
f277,Offer sub category indian,one hot encoded
f278,Offer sub category italian,one hot encoded
f279,Offer sub category japanese,one hot encoded
f280,Offer sub category jewelry,one hot encoded
f281,Offer sub category mediterranean,one hot encoded
f282,Offer sub category mexican,one hot encoded
f283,Offer sub category office products,one hot encoded
f284,Offer sub category office supplies,one hot encoded
f285,Offer sub category other,one hot encoded
f286,Offer sub category other cuisine,one hot encoded
f287,Offer sub category other services,one hot encoded
f288,Offer sub category other shopping,one hot encoded
f289,Offer sub category parking,one hot encoded
f290,Offer sub category parks zoos,one hot encoded
f291,Offer sub category personal care,one hot encoded
f292,Offer sub category printing,one hot encoded
f293,Offer sub category professional,one hot encoded
f294,Offer sub category real estate,one hot encoded
f295,Offer sub category residential care,one hot encoded
f296,Offer sub category restaurant,one hot encoded
f297,Offer sub category seafood,one hot encoded
f298,Offer sub category services,one hot encoded
f299,Offer sub category shipping services,one hot encoded
f300,Offer sub category spanish,one hot encoded
f301,Offer sub category sports recreation,one hot encoded
f302,Offer sub category steakhouse,one hot encoded
f303,Offer sub category thai,one hot encoded
f304,Offer sub category tour,one hot encoded
f305,Offer sub category transportation,one hot encoded
f306,Offer sub category travel agencies,one hot encoded
f307,Offer sub category utilities,one hot encoded
f308,Offer sub category vegetarian,one hot encoded
f309,Offer sub category wholesale,one hot encoded
f310,Last 1 day CTR,numerical
f311,Last 3 days CTR,numerical
f312,CTR in Last 7 days,numerical
f313,Last 14 days CTR,numerical
f314,last 30 days CTR,numerical
f315,Clicks in last 1 day,numerical
f316,Clicks in last 3 days,numerical
f317,Clicks in last 7 days,numerical
f318,Clicks in last 14 days,numerical
f319,Clicks in last 30 days,numerical
f320,Impressions last 1 day,numerical
f321,Impressions last 3 days,numerical
f322,Impressions in last 7 days,numerical
f323,Impressions last 14 days,numerical
f324,Impressions last 30 days,numerical
f325,Ratio of ctr in last 1 day to ctr in last 3 days,numerical
f326,Ratio of ctr in last 3 days to ctr in last 7 days,numerical
f327,Ratio of ctr in last 7 days to ctr in last 14 days,numerical
f328,Ratio of ctr in last 14 days to ctr in last 30 days,numerical
f329,CTR ratio variable,numerical
f330,CTR ratio variable,numerical
f331,CTR ratio variable,numerical
f332,Redemption mode is Online,numerical
f333,Redemption mode is in-store,numerical
f334,Redemption mode is phone,numerical
f335,Coupon offers,numerical
f336,CTR in the last 1 day on an offer with same merchant,numerical
f337,CTR in the last 3 days on an offer with same merchant,numerical
f338,CTR in the last 7 days on an offer with same merchant,numerical
f339,CTR in the last 14 days on an offer with same merchant,numerical
f340,CTR in the last 30 days on an offer with same merchant,numerical
f341,CTR ratio variable for merchant offers,numerical
f342,CTR ratio variable for merchant offers,numerical
f343,CTR ratio variable for merchant offers,numerical
f344,CM impressions on an offer with same merchant in first 3 days of that offer,numerical
f345,CM impressions on an offer with same merchant in first 30 days of that offer,numerical
f346,CM impressions on an offer with same merchant,numerical
f347,Avg ctr of an offer,numerical
f348,No of impressions on the offer (in last 3 days),numerical
f349,"context variable fetched in real time where 1 for Monday, 2 for Tuesday,…………, 7 for Sunday",categorical
f350,context variable fetched in real time where this is Number of seconds after 00:00 hrs,numerical
f351,Exponential Recovery on Age(Days since launch of offer),numerical
f352,Vertical Asymptote on Age,numerical
f353,Hyperbolic Function of Age,numerical
f354,Depicts days since launch,categorical
f355,Decay of Click Through Rate in 1 Day,numerical
f356,Decay of Click Through Rate in 2 Day,numerical
f357,Decay of Click Through Rate in 7 Day,numerical
f358,Hyperbolic Function of Click Through Rate,numerical
f359,Financial hardship trigger scores for USCS customers,numerical
f360,Financial hardship trigger scores for GCS customers,numerical
f361,Total Impressions on the incoming offer's industry for the given CM in past 180 days,numerical
f362,Total clicks on the incoming offer's industry for the given CM in past 180 days,numerical
f363,CTR on the incoming offer's industry for the given CM in past 180 days,numerical
f364,CM’s past 6 moth impressions on relevant offers,numerical
f365,CM’s past 6 moth clicks on relevant offers,numerical
f366,CM’s past 6 moth CTR on relevant offers,numerical
